Periods;Price index existing homes/Price index selling prices. (2020=100);Price index existing homes/Changes compared to the previous period (%);Price index existing homes/Changes compared to the previous year (%);Sold existing homes/Sold homes (number);Sold existing homes/Changes compared to the previous period (%);Sold existing homes/Changes compared to the previous year (%);Average purchase price (euros);Total value purchase prices (million euros)
1995;29.6;;;154568;;;93750;14491
2000;54.8;17.8;17.8;189358;-7.4;-7.4;172050;32579
2005;72.6;3.9;3.9;206629;7.7;7.7;222706;46017
2010;77.5;-2.0;-2.0;126127;-1.1;-1.1;239530;30211
2015;69.5;3.3;3.3;178293;16.1;16.1;230194;41042
2020;100.0;7.9;7.9;235511;7.7;7.7;334488;78776
2021;115.1;15.1;15.1;226087;-4.0;-4.0;386714;87431
2022;130.4;13.3;13.3;193103;-14.6;-14.6;428591;82762
2023 January;128.2;1.4;0.7;13126;-38.5;-6.6;424681;5574
2023 February;126.4;-1.5;-1.2;11858;-9.7;-15.5;410189;4864
2023 March;125.9;-0.4;-2.6;15453;30.3;-2.4;415141;6415
2023 1st quarter;126.8;-1.7;-1.1;40437;-21.2;-7.9;416786;16854
2023 April;124.6;-1.0;-4.7;12816;-17.1;-19.8;401374;5144
2023 May;124.6;0.0;-5.8;15099;17.8;-4.1;403913;6099
2023 June;124.9;0.2;-5.7;16585;9.8;5.9;412943;6849
2023 2nd quarter;124.7;-1.7;-5.4;44500;10.0;-6.1;406547;18091
2023 July;125.6;0.6;-5.5;14925;-10.0;-9.1;413917;6178
2023 August;126.4;0.6;-4.7;15934;6.8;-2.9;416595;6638
2023 September;127.2;0.6;-3.4;16089;1.0;-8.7;422175;6792
2023 3rd quarter;126.4;1.3;-4.5;46948;5.5;-6.9;417656;19608
2023 October;128.1;0.7;-2.1;15705;-2.4;5.7;424521;6667
2023 November;128.7;0.5;-0.6;15248;-2.9;0.7;421284;6424
2023 December;129.0;0.2;1.9;19565;28.3;-8.3;422372;8264
2023 4th quarter;128.6;1.7;-0.3;50518;7.6;-1.6;422712;21355
2023;126.6;-2.9;-2.9;182403;-5.5;-5.5;416153;75908
2024 January;130.5;1.2;1.8;14452;-26.1;10.1;433285;6262
2024 February;131.8;1.0;4.3;13810;-4.4;16.5;427279;5901
2024 March;132.7;0.7;5.4;16179;17.2;4.7;435049;7039
2024 1st quarter;131.6;2.4;3.8;44441;-12.0;9.9;432061;19201
2024 April;133.9;1.0;7.5;15689;-3.0;22.4;435984;6840
2024 May;135.4;1.1;8.6;17591;12.1;16.5;445430;7836
2024 June;137.1;1.3;9.7;14662;-16.7;-11.6;441112;6468
2024 2nd quarter;135.4;2.9;8.6;47942;7.9;7.7;441018;21143
2024 July;139.0;1.4;10.6;18610;26.9;24.7;457320;8511
2024 August;140.5;1.1;11.2;17915;-3.7;12.4;466207;8352
2024 September;141.7;0.9;11.4;17622;-1.6;9.5;466890;8228
2024 3rd quarter;140.4;3.7;11.1;54147;12.9;15.3;463375;25090
2024 October;142.8;0.8;11.5;18131;2.9;15.4;467355;8474
2024 November;144.1;0.9;11.9;17973;-0.9;17.9;461931;8302